team,player,pos_x,pos_y,pos_z,smooth_x_speed,smooth_y_speed,ball_carrier,playing_direction_event
1,2,26.03,15.36,0.0,1.2,-1.71,0,True
1,20,34.49,-6.37,0.0,4.65,1.33,0,True
1,12,17.8,-0.85,0.0,1.3,-0.8,0,True
2,8,50.42,-4.36,0.0,0.76,-0.56,0,True
2,3,31.95,15.27,0.0,1.76,-2.16,0,True
2,22,10.03,11.75,0.0,-0.52,-1.26,0,True
1,5,6.9,-12.26,0.0,1.04,-0.8,0,True
2,16,29.0,-4.36,0.0,2.31,0.8,0,True
1,14,30.5,-11.56,0.0,4.84,0.97,0,True
1,1,32.95,-30.5,0.0,1.28,0.81,0,True
1,11,39.03,3.53,0.0,3.79,-5.34,0,True
1,15,3.8,4.53,0.0,0.63,-0.73,0,True
2,10,42.42,2.89,0.0,4.56,-3.27,0,True
2,13,31.06,-12.71,0.0,3.62,2.2,0,True
1,6,-26.67,-1.37,0.0,0.84,0.26,0,True
2,21,40.9,-7.95,0.0,4.55,3.84,0,True
2,9,38.92,-18.68,0.0,2.85,3.0,0,True
1,19,44.57,-11.35,0.0,7.41,2.19,0,True
1,7,12.13,17.61,0.0,0.42,-1.34,0,True
2,4,21.67,1.73,0.0,1.0,-0.75,0,True
2,17,44.62,-8.72,0.0,7.38,-3.21,0,True
2,18,22.99,-14.8,0.0,1.64,-0.71,0,True
0,0,44.42,-11.4,1.06,3.63,4.43,0,True
